timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3, vol, cur,power
23.205518961,-0.0595320128,-0.1738199592,-0.2567420006,0,1.4615395069,12.5964202881,0.0267306231,-0.1860488571,-1.702854347,1489,1488,1493,1521,15.4149999619,11.03515625,170.106933173
23.3079509735,-0.0802042037,-0.0409958921,-0.2090268731,0,-1.1866570711,12.1168231964,0.025781089,-0.1862398743,-1.6806726262,1489,1485,1493,1521,15.404999733,11.865234375,182.783932379
23.4072370529,-0.1050329804,0.0479167476,-0.1877640784,0,0.2297925949,8.7753067017,0.0249927579,-0.1875190975,-1.6763597848,1489,1485,1493,1521,15.404999733,10.986328125,169.244381832
23.5086679459,-0.1243683994,0.1257823855,-0.169082284,0,-0.3221362531,8.190158844,0.0170254334,-0.1777943551,-1.6792803807,1489,1484,1493,1521,15.404999733,10.498046875,161.722409306
23.6069688797,-0.1366385221,0.2028840482,-0.1584944278,0,0.1416032314,8.5044784546,0.0109504318,-0.1691077266,-1.6942797384,1489,1484,1493,1521,15.4020004272,12.79296875,197.037310153
23.7097809315,-0.1274099201,0.3006813228,-0.1502884775,0,0.1453436166,10.3655233383,0.0024947036,-0.1601254006,-1.7222534304,1489,1484,1493,1521,15.4020004272,13.134765625,202.301665768
23.8076598644,-0.1258006394,0.3641727865,-0.1274482161,0,-1.5774229765,9.4896392822,0.002633831,-0.1545770198,-1.7382887535,1489,1483,1493,1521,15.4020004272,12.353515625,190.268852934
23.9099850655,-0.1175129488,0.3915121257,-0.1142520756,0,-0.2445572615,10.0316324234,0.0043329187,-0.1526572795,-1.7467613348,1489,1472,1493,1521,15.390999794,13.134765625,202.157175029
24.0084459782,-0.0947131589,0.4729622602,-0.0992078856,0,-0.4672881961,8.7646532059,0.0071298241,-0.1507946258,-1.7609338932,1488,1449,1493,1521,15.390999794,11.669921875,179.611765174
24.110918045,-0.079756476,0.4993724525,-0.1149106622,0,-0.2240376621,9.0334815979,-0.0063269284,-0.1139816581,-1.7653224715,1488,1432,1493,1521,15.376999855,17.236328125,265.04301508
24.2092700005,-0.0690301508,0.4768025577,-0.0288546104,0,2.1958994865,10.8230733871,-0.0229070545,-0.0368051975,-1.7619255685,1489,1426,1493,1518,15.376999855,10.302734375,158.425144991
24.3114578724,-0.0586043485,0.4165777266,-0.0205081385,0,0.0173516087,10.6524658203,-0.0247984666,-0.0400044463,-1.7562351185,1489,1393,1493,1521,15.375,11.767578125,180.926513672
24.4098920822,-0.0340376571,0.4358651638,-0.048149351,0,-2.9432897568,10.5646438599,-0.0221684924,-0.1585895824,-1.7500740216,1489,1390,1493,1521,15.375,14.84375,228.22265625
24.5120389462,-0.0034594189,0.5086345077,-0.0786828622,0,0.1100655869,11.144364357,-0.0209408675,-0.2237858066,-1.7479079515,1489,1390,1493,1521,15.375,14.501953125,222.967529297
24.6103990078,0.0697399378,0.6819800735,-0.0455475077,0,-1.7219978571,13.892745018,-0.0145419103,-0.2181864891,-1.7474726493,1489,1391,1493,1521,15.3599996567,16.11328125,247.499994468
24.7128889561,0.1047976092,0.8019244671,-0.0135108326,0,0.3293866813,11.1621217728,-0.0105462042,-0.1959668883,-1.7464225942,1489,1369,1493,1521,15.3599996567,14.404296875,221.249995055
24.8114900589,0.1455114633,0.9231511354,0.0210235957,0,1.4263123274,9.1328105927,-0.0057012611,-0.1956602948,-1.7429702149,1489,1366,1493,1518,15.3599996567,14.404296875,221.249995055
24.9141070843,0.178949818,1.0495071411,0.0352521092,0,1.4691926241,7.8104100227,-0.0142865821,-0.2272067315,-1.7364891605,1489,1366,1493,1521,15.3339996338,15.380859375,235.850092024
25.0122749805,0.2262846082,1.1586561203,0.0526646115,0,1.5438822508,13.2409315109,-0.012873615,-0.2085441211,-1.7271184226,1489,1378,1493,1521,15.3339996338,12.841796875,196.916108578
25.1143169403,0.2670806646,1.248890996,0.1222685948,0,2.0620212555,13.4365882874,-0.0032260397,-0.1369123569,-1.7199245401,1489,1388,1493,1521,15.3240003586,12.5,191.550004482
