timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power,vel,,,,,,,,,,,,,,,,
251.464044094,3.7137928009,0.2843977213,0.1845400482,-1.3776752949,0.958504796,13.5059013367,0,0,0,1898,1486,1543,1524,15.3389997482,879,17.919921875,274.873677128,186.461752521,,,,,,,,,,,,,,,,
251.562281132,4.1472830772,0.3383594453,0.1904102713,1.3552083969,-1.666033864,9.440653801,0,0,0,1896,1487,1543,1523,15.3389997482,906,19.23828125,295.09599125,208.2708579475,,,,,,,,,,,,,,,,
251.660876989,4.4482932091,0.3645537496,0.1925491393,-1.0836480856,-1.1032885313,10.2106962204,0,0,0,1895,1487,1543,1523,15.3249998093,911,19.482421875,298.568111519,223.3678976572,,,,,,,,,,,,,,,,
251.763109922,5.059756279,0.4358250797,0.2000848353,1.3524883986,0.0294733327,12.5746965408,0,0,0,1880,1487,1543,1523,15.3249998093,884,18.1640625,278.364254349,254.1215803719,,,,,,,,,,,,,,,,
251.861560106,5.5412840843,0.4943736196,0.215996936,1.0674248934,-0.734169364,10.1922178268,0,0,0,1874,1486,1543,1524,15.3050003052,867,17.333984375,265.29663615,278.3742501339,,,,,,,,,,,,,,,,
251.964184046,5.940507412,0.5452269316,0.1981262714,-0.6667340398,-2.0155382156,11.3993034363,0,0,0,1861,1487,1543,1523,15.3050003052,832,15.625,239.140629769,298.4382462855,,,,,,,,,,,,,,,,
252.062035084,6.2410206795,0.5746694207,0.1928982735,1.2622083426,-3.043674469,11.0208072662,0,0,0,1845,1487,1543,1523,15.295999527,810,14.55078125,222.568743117,313.5195121877,,,,,,,,,,,,,,,,
252.164387941,6.446033001,0.6048349142,0.2569373548,0.2557044625,-2.1048059464,9.9469079971,0,0,0,1841,1487,1543,1523,15.295999527,713,9.814453125,150.121870358,323.9721574754,,,,,,,,,,,,,,,,
252.262905121,6.5290765762,0.615552187,0.2842729092,0.7520183921,-3.0948352814,11.0067806244,0,0,0,1776,1490,1543,1523,15.3030004501,776,12.890625,197.265240177,328.2093711326,,,,,,,,,,,,,,,,
252.365253925,6.4879336357,0.6224772334,0.3160554171,0.0288815703,-2.3540701866,11.5895414352,0,0,0,1663,1495,1543,1523,15.3030004501,774,12.79296875,195.770806539,326.2692591788,,,,,,,,,,,,,,,,
